spotify_song_id,danceability,acousticness,valence,tempo,energy,time_signature,mode,loudness,key,id
2rv5QO7eIK3gbKiPSxihda,0.316,0.898,0.14,148.986,0.342,4,0,-16.594,10,56
6FwkSITKGSBNIpzdMDSgMR,0.15,0.965,0.0365,65.602,0.0391,4,1,-21.669,1,57
7iU27HhWtvJsA2xENCDgB9,0.259,0.988,0.048,78.302,0.0541,4,1,-25.71,0,58
2TkGYqnVFS0T5u2PYN6JQS,0.333,0.976,0.191,95.641,0.00289,5,1,-33.467,5,59
6UIn6aFGQYeP2gNAlzSxDg,0.32,0.987,0.167,84.162,0.0461,4,1,-28.544,9,60
1lS0u9f4yc2ML1wNNuErQo,0.394,0.995,0.0394,69.785,0.00597,4,1,-32.227,1,61
7wcYcpYgWQ1JofuqTu7jhk,0.106,0.924,0.182,174.929,0.0882,3,1,-23.126,4,62
0V4rUX2i5m3TaFrDDywRXS,0.18,0.82,0.0383,180.393,0.099,3,1,-15.878,5,63
3KnRy8U5lNDckLNI0JxeBT,0.231,0.97,0.0371,129.5,0.00563,5,0,-30.323,9,64
3YYqr57gEURJQGxuQ5EV7c,0.12,0.845,0.0398,85.043,0.0895,4,1,-20.802,9,65
1Org5XClvfulvp1mrLUQuT,0.361,0.87,0.285,77.039,0.0765,4,1,-24.765,10,66
5dZjMje6Mmkt1BkHOE0Q7R,0.153,0.95,0.0354,83.161,0.0325,3,1,-24.572,7,67
0PuxFPoTO5Ox8JLxO7JuZX,0.191,0.927,0.142,138.64,0.256,5,1,-12.333,5,68
6aFDo31zma2e7JGxd7wTGR,0.0655,0.977,0.0444,71.353,0.0931,5,0,-32.627,1,69
5rSR9a0inBSyYlNTLa8BLi,0.231,0.925,0.193,86.298,0.111,3,1,-22.121,2,70
4jep6dMPP0z7HrN375InoL,0.593,0.995,0.314,76.488,0.00543,3,1,-35.422,7,71
68oxELAW6URbwJCKmBiNDa,0.138,0.746,0.133,99.877,0.712,4,1,-5.271,0,72
2LhRrWfxTV6ZW1XAOb2OGa,0.422,0.47,0.0392,113.961,0.289,3,0,-13.669,0,73
3YtEWW6zQJywlH2J6SHse2,0.277,0.88,0.0653,128.881,0.024,3,0,-29.34,0,74
4sm3tGqlJ0qMIUse4syKRI,0.19,0.961,0.0506,76.077,0.107,4,0,-17.862,0,75
1a7Z5exQ1nUBrCV4TV127U,0.454,0.995,0.146,73.074,0.0118,4,1,-33.317,4,76
4LvswFQIJCZcBOTBiKJ39m,0.297,0.979,0.0574,67.627,0.0545,4,0,-24.601,2,77
3phJmjAwq7RRrw8T8qTexO,0.488,0.986,0.124,72.98,0.00283,3,1,-24.794,2,78
641IM7ryimhi1vVfSONkJz,0.465,0.968,0.75,103.85,0.463,4,1,-15.215,5,79
2GAcOueBAbwU0kgaXKVAdM,0.349,0.981,0.395,82.297,0.268,4,0,-17.238,2,80
4wwz5uVIGfB0DLgyUzQuRz,0.311,0.987,0.0375,77.028,0.0653,5,1,-21.719,8,81
4P1sbofnneFeEEASTFMEGl,0.184,0.794,0.0361,70.87,0.0216,3,1,-37.01,0,82
2g09gJN4OcTGr32JlENOPk,0.172,0.733,0.0374,77.213,0.0939,4,1,-21.306,7,83
3exBKAzjmT57jjH1TTFBni,0.401,0.992,0.0466,119.075,0.127,4,1,-23.464,7,84
252wJ7a1gTi59YZCDYiKu0,0.0809,0.901,0.0361,62.945,0.0863,4,1,-20.368,1,85
5dW3suh54vtbllAQgwS249,0.273,0.74,0.036,112.277,0.0201,4,1,-25.591,7,86
0TWducu0FOa75QjURpxPVn,0.422,0.989,0.38,108.521,0.217,4,0,-19.031,4,87
1AUiVg8Q8VSgWeA1c14ZWl,0.337,0.995,0.0387,69.188,0.0295,5,0,-26.308,2,88
7CIoJE0JfVFcmmUY3fFojH,0.349,0.987,0.168,80.233,0.326,4,1,-15.347,1,89
1JGWAEOOPv8LyKh92eVa39,0.149,0.96,0.0196,137.217,0.00281,5,0,-40.708,0,90
39ixK8F8e3D18AYEXtIYFZ,0.135,0.988,0.0378,84.298,0.135,4,1,-18.436,0,91
4gximAueAXQ8d7v3MLFhYn,0.0647,0.944,0.0326,67.678,0.0744,3,1,-18.855,3,92
6ZrsSJiyETgzmYMrw9tu5G,0.0862,0.945,0.028,84.991,0.0513,4,1,-23.799,4,93
5stPdVFNnyEahYLpWs2akd,0.224,0.97,0.0481,89.567,0.121,1,1,-19.321,11,94
2vNFGpMub5nBHnHaOIoAIw,0.408,0.994,0.298,106.776,0.216,4,1,-20.439,5,95
0AV6qRaNajFNakSCOrXOkT,0.122,0.892,0.0327,84.815,0.0528,4,1,-23.486,10,96
